CVEGEO,gravity_area,raam_area
0900200010010,1.2141459936620476,0.41089920373222166
0900200010025,1.2587335990797557,0.34427692111013247
090020001003A,1.2433726365509628,0.3547719648395871
0900200010044,1.3401661296061318,0.32129921685077023
0900200010097,1.2976695576444939,0.2900057482890705
090020001010A,1.2940147884591142,0.3621360498856866
0900200010114,1.3118781244690154,0.39694982444385346
0900200010129,1.7217329247306024,0.17068001528102306
0900200010133,1.3851961321875519,0.28910123869626175
0900200010148,1.7902242961078658,0.10657337280775792
0900200010167,1.3438887166334132,0.3373519854770936
0900200010171,1.3584868796005083,0.3522101660415084
0900200010186,1.3043870922763616,0.48628820273846396
0900200010190,1.3194165139502134,0.6479042297875427
0900200010203,1.3426364054123623,0.3958464085068183
0900200010218,1.3389072328516427,0.4880339874499885
0900200010222,1.368260311360984,0.40071121744228855
0900200010237,1.3007979706191968,0.3294077387335998
0900200010256,1.3114574355292246,0.46143275899388553
0900200010260,1.3257667793457426,0.4774673464953478
0900200010275,1.3308867000296498,0.5267432059382289
090020001028A,1.3310655661986461,0.6078377886384829
0900200010294,1.3446808990429555,0.4988149897840357
0900200010307,1.3428592002776176,0.6076783435754347
0900200010311,1.4102721981658761,0.4541956718532784
0900200010326,1.3690142831351286,0.5794180444210031
0900200010330,1.3745197028405547,0.44731456314525836
0900200010345,1.3945623576598674,0.5334679986196296
090020001035A,1.4046507206049688,0.543637680649176
0900200010364,1.4506253380993284,0.555522167536069
0900200010379,1.451189597146616,0.6267335914925725
0900200010383,1.4560970010591396,0.529998908145332
0900200010398,1.470079371904668,0.6100968276114555
0900200010400,1.4873315307160928,0.5001333047694912
0900200010415,1.513463889613758,0.4131504549073966
0900200010434,1.346017290595728,0.42904477274046215
0900200010449,1.3528322006907758,0.4477391244971543
0900200010468,1.3804978304370719,0.41939261853541754
0900200010472,1.4118320263444084,0.4320100897837095
0900200010487,1.3994680665859898,0.5208968895644508
0900200010491,1.4315226869154627,0.3788243647760629
0900200010504,1.4662462478391978,0.30298124320510345
0900200010519,1.5063850726534809,0.2786910846247915
0900200010542,1.4918614701943005,0.604441001174119
0900200010557,1.4928502701273738,0.6248767200087801
0900200010561,1.5101203057827943,0.5200380497551723
0900200010576,1.5248847829165908,0.44549412242152614
0900200010580,1.5516111957762557,0.3657350276888294
0900200010595,1.2776435500501715,0.41619625649452846
0900200010608,1.286341115414256,0.5487495994921475
0900200010612,1.2744603915174695,0.439483364503214
0900200010627,1.277225320378763,0.4315425571928301
0900200010631,1.3112806791225826,0.5691050058504816
0900200010650,1.3841559319828742,0.4435839689933656
0900200010665,1.3891963429368313,0.47436004336057325
090020001067A,1.4489906841597275,0.37220654152028093
0900200010684,1.4514022097966695,0.3460932151334224
0900200010699,1.4864911422170535,0.278991024604477
0900200010701,1.5137115000564954,0.22823586068995325
0900200010716,1.5485542560929602,0.2296478750192057
0900200010720,1.4998981299509828,0.36710001967888084
090020001074A,1.4813167575214747,0.4758078181439214
0900200010754,1.4996075687205888,0.5156637429225298
0900200010769,1.5141940530550342,0.5243987791848755
0900200010773,1.5462357633503796,0.36498116578037787
0900200010788,1.569500869104276,0.2886748099742009
0900200010792,1.4866497889511836,0.439332814033839
0900200010805,1.5247113078252195,0.25827799721247413
090020001081A,1.5256310163758913,0.3616688718175765
0900200010824,1.5422945247317006,0.30653346033967255
0900200010839,1.5367924969247797,0.28806417338294693
0900200010843,1.5579382524660672,0.34191538617799566
0900200010858,1.5315507815237037,0.46698774457046416
0900200010877,1.3849567151991156,0.3398275596064869
0900200010881,1.4161238743658748,0.5371289652056296
0900200010896,1.476645314488873,0.3212541549751635
0900200010909,1.4890444778669023,0.3195202291527445
0900200010913,1.2898190930481523,0.3612718413145713
0900200010928,1.288910393985067,0.3682932464574286
0900200010932,1.2912603994919423,0.39914073651473153
0900200010947,1.2854364317814277,0.43111715001372203
0900200010966,1.375432531735943,0.1959102947593205
0900200010970,1.3884972724208575,0.21709147702812878
0900200010985,1.3689067087968274,0.2995371572356452
090020001099A,1.3512726119579044,0.2657331899497591
0900200011004,1.3239525199478444,0.3495798404645823
0900200011019,1.3592355248133845,0.4044375767443063
0900200011023,1.363118701182614,0.47986294476731894
0900200011038,1.3045905503831936,0.6202733713620756
0900200011042,1.329785285661728,0.6136849508311633
0900200011057,1.5175508489632579,0.3935895882454605
0900200011061,1.522902370646808,0.449840604412838
0900200011076,1.2946101660180023,0.5969862217536458
